Source URL,Symbol,Name,1D Chart,Price (Intraday),Change,Change %,Volume,YTD Return,3-Mo Return,1-Year,3-Year Return,5-Year Return,Net Expense Ratio,Gross Expense Ratio,Net Assets,Morningstar Rating,50 Day Avg,200 Day Avg,52 Week Range
https://finance.yahoo.com/research-hub/screener/mutualfunds?start=0&count=100,1,VTSMX,Vanguard Total Stock Mkt Idx Inv,+0.32,+0.23%,140.38,-0.67%,+0.88%,+25.89%,+25.59%,+30.65%,0.04,0.04,1.778T,,143.27,133.79,,
https://finance.yahoo.com/research-hub/screener/mutualfunds?start=0&count=100,2,VTSAX,Vanguard Total Stock Mkt Idx Adm,+0.32,+0.23%,140.41,-0.67%,+0.91%,+26.01%,+25.71%,+30.80%,0.04,0.04,1.778T,,143.31,133.82,,
https://finance.yahoo.com/research-hub/screener/mutualfunds?start=0&count=100,3,VSTSX,Vanguard Total Stock Mkt Idx Instl Sel,+0.64,+0.23%,276.49,-0.67%,+0.91%,+26.05%,+25.75%,+30.84%,0.04,0.04,1.778T,,282.20,263.50,,
https://finance.yahoo.com/research-hub/screener/mutualfunds?start=0&count=100,4,VSMPX,Vanguard Total Stock Mkt Idx Instl Pls,+0.61,+0.23%,263.43,-0.67%,+0.91%,+26.03%,+25.74%,+30.82%,0.04,0.04,1.778T,,268.87,251.06,,
https://finance.yahoo.com/research-hub/screener/mutualfunds?start=0&count=100,5,VITSX,Vanguard Total Stock Market Idx I,+0.32,+0.23%,140.43,-0.67%,+0.91%,+26.02%,+25.73%,+30.81%,0.04,0.04,1.778T,,143.33,133.85,,
https://finance.yahoo.com/research-hub/screener/mutualfunds?start=0&count=100,6,VFIAX,Vanguard 500 Index Fund,+0.62,+0.12%,539.40,-0.73%,+0.68%,+26.24%,+28.66%,+31.46%,0.04,0.04,1.349T,,550.03,515.15,,
https://finance.yahoo.com/research-hub/screener/mutualfunds?start=0&count=100,7,VFINX,Vanguard 500 Index Fund,+0.62,+0.12%,539.46,-0.74%,+0.65%,+26.11%,+28.53%,+31.33%,0.04,0.04,1.349T,,550.06,515.18,,
https://finance.yahoo.com/research-hub/screener/mutualfunds?start=0&count=100,8,VFFSX,Vanguard 500 Index Fund,+0.32,+0.11%,285.97,-0.73%,+0.69%,+26.28%,+28.70%,+31.49%,0.04,0.04,1.349T,,291.61,273.10,,
https://finance.yahoo.com/research-hub/screener/mutualfunds?start=0&count=100,9,FXAIX,Fidelity 500 Index,+0.23,+0.11%,202.93,-0.73%,+0.69%,+26.29%,+28.69%,+31.47%,0.01,0.01,619.448B,,206.96,193.89,,
https://finance.yahoo.com/research-hub/screener/mutualfunds?start=0&count=100,10,VGTSX,Vanguard Total Intl Stock Index Inv,+0.14,+0.75%,18.74,-1.85%,-8.14%,+15.44%,+8.61%,+21.43%,0.18,0.18,431.861B,,19.54,19.69,,
